수집일,외부온도,외부 일사량,외부풍속,강우감지,내부온도,내부습도,내부CO2,지온,(양액)지습,차광커튼작동상태,측창
2020-09-10 0:00,20.0,2.0,,0.0,21.0,99.0,,25.0,44.0,0,0
2020-09-10 1:00,20.0,2.0,0.0,0.0,21.0,99.0,,24.0,41.0,0,0
2020-09-10 2:00,20.0,2.0,,0.0,20.0,99.0,,24.0,43.0,0,0
2020-09-10 3:00,20.0,,,0.0,21.0,99.0,,23.0,47.0,0,0
2020-09-10 4:00,20.0,,,0.0,21.0,99.0,,23.0,48.0,0,0
2020-09-10 5:00,20.0,1.0,0.0,0.0,20.0,98.0,,23.0,45.0,0,0
2020-09-10 6:00,19.0,16.0,0.0,0.0,20.0,98.0,,23.0,44.0,0,0
2020-09-10 7:00,20.0,40.0,,0.0,21.0,98.0,,23.0,43.0,0,0
2020-09-10 8:00,20.0,136.0,0.0,0.0,22.0,94.0,,23.0,45.0,0,0
2020-09-10 9:00,21.0,278.0,1.0,0.0,24.0,89.0,,23.0,44.0,0,0
2020-09-10 10:00,23.0,398.0,0.0,0.0,27.0,84.0,,25.0,46.0,0,0
2020-09-10 11:00,24.0,295.0,0.0,0.0,27.0,87.0,,26.0,48.0,0,0
2020-09-10 12:00,25.0,470.0,0.0,0.0,28.0,85.0,,27.0,49.0,0,0
2020-09-10 13:00,27.0,649.0,1.0,0.0,33.0,77.0,,29.0,46.0,0,0
2020-09-10 14:00,27.0,575.0,0.0,0.0,33.0,77.0,,31.0,48.0,0,0
2020-09-10 15:00,27.0,420.0,0.0,0.0,32.0,80.0,,32.0,48.0,0,0
2020-09-10 16:00,26.0,259.0,1.0,0.0,28.0,84.0,,32.0,49.0,0,0
2020-09-10 17:00,24.0,76.0,1.0,0.0,25.0,89.0,,31.0,50.0,0,0
2020-09-10 18:00,22.0,21.0,0.0,0.0,23.0,94.0,,30.0,48.0,0,0
2020-09-10 19:00,21.0,,0.0,0.0,22.0,96.0,,29.0,45.0,0,0
2020-09-10 20:00,21.0,2.0,0.0,0.0,21.0,97.0,,28.0,44.0,0,0
2020-09-10 21:00,21.0,2.0,1.0,833.0,21.0,96.0,,27.0,44.0,0,0
2020-09-10 22:00,21.0,2.0,0.0,0.0,21.0,97.0,,26.0,48.0,0,0
2020-09-10 23:00,20.0,2.0,0.0,0.0,21.0,98.0,,25.0,44.0,0,0
2020-09-11 0:00,21.0,2.0,1.0,0.0,21.0,98.0,,25.0,46.0,0,0
2020-09-11 1:00,20.0,2.0,1.0,0.0,20.0,98.0,,24.0,45.0,0,0
2020-09-11 2:00,20.0,2.0,1.0,0.0,20.0,98.0,,24.0,47.0,0,0
2020-09-11 3:00,20.0,2.0,0.0,2667.0,20.0,98.0,,24.0,51.0,0,0
2020-09-11 4:00,20.0,2.0,0.0,0.0,20.0,98.0,,23.0,50.0,0,0
2020-09-11 5:00,20.0,,,0.0,20.0,98.0,,23.0,51.0,0,0
2020-09-11 6:00,20.0,7.0,0.0,0.0,20.0,98.0,,23.0,48.0,0,0
2020-09-11 7:00,20.0,42.0,0.0,1000.0,20.0,98.0,,23.0,44.0,0,0
2020-09-11 8:00,21.0,59.0,,1167.0,21.0,95.0,,23.0,46.0,0,0
2020-09-11 9:00,21.0,90.0,0.0,10000.0,22.0,95.0,,23.0,46.0,0,0
2020-09-11 10:00,22.0,164.0,0.0,9333.0,23.0,92.0,,24.0,49.0,0,0
2020-09-11 11:00,22.0,103.0,0.0,8167.0,23.0,94.0,,24.0,49.0,0,0
2020-09-11 12:00,21.0,157.0,1.0,10000.0,23.0,92.0,,24.0,53.0,0,0
2020-09-11 13:00,20.0,67.0,1.0,1500.0,21.0,94.0,,25.0,43.0,0,0
2020-09-11 14:00,20.0,56.0,2.0,8667.0,21.0,95.0,,24.0,44.0,0,0
2020-09-11 15:00,20.0,50.0,1.0,10000.0,20.0,95.0,,24.0,52.0,0,0
2020-09-11 16:00,19.0,26.0,1.0,10000.0,20.0,96.0,,24.0,53.0,0,0
2020-09-11 17:00,19.0,15.0,1.0,9333.0,20.0,97.0,,23.0,50.0,0,0
2020-09-11 18:00,19.0,4.0,1.0,9500.0,20.0,97.0,,23.0,49.0,0,0
2020-09-11 19:00,19.0,2.0,1.0,7833.0,20.0,98.0,,23.0,46.0,0,0
2020-09-11 20:00,20.0,2.0,1.0,7833.0,20.0,98.0,,23.0,46.0,0,0
2020-09-11 21:00,20.0,2.0,1.0,0.0,20.0,98.0,,22.0,48.0,0,0
2020-09-11 22:00,20.0,2.0,1.0,667.0,20.0,98.0,,22.0,47.0,0,0
2020-09-11 23:00,20.0,2.0,0.0,6833.0,20.0,99.0,,22.0,43.0,0,0
2020-09-12 0:00,20.0,2.0,0.0,6102.0,20.0,99.0,,22.0,44.0,0,0
2020-09-12 1:00,20.0,2.0,0.0,9667.0,20.0,99.0,,22.0,48.0,0,0
2020-09-12 2:00,20.0,2.0,0.0,10000.0,20.0,99.0,,22.0,47.0,0,0
2020-09-12 3:00,19.0,2.0,1.0,10000.0,20.0,98.0,,22.0,48.0,0,0
2020-09-12 4:00,19.0,2.0,0.0,4167.0,19.0,98.0,,22.0,49.0,0,0
2020-09-12 5:00,19.0,2.0,1.0,0.0,19.0,98.0,,22.0,46.0,0,0
2020-09-12 6:00,19.0,9.0,1.0,2167.0,19.0,98.0,,21.0,44.0,0,0
2020-09-12 7:00,19.0,65.0,1.0,0.0,20.0,96.0,,21.0,44.0,0,0
2020-09-12 8:00,21.0,173.0,1.0,0.0,22.0,92.0,,22.0,47.0,0,0
2020-09-12 9:00,23.0,318.0,1.0,0.0,25.0,84.0,,23.0,48.0,0,0
2020-09-12 10:00,24.0,354.0,0.0,0.0,27.0,84.0,,24.0,47.0,0,0
2020-09-12 11:00,26.0,679.0,1.0,0.0,29.0,83.0,,25.0,46.0,0,0
2020-09-12 12:00,25.0,357.0,1.0,0.0,28.0,85.0,,26.0,47.0,0,0
2020-09-12 13:00,23.0,115.0,1.0,0.0,24.0,91.0,,26.0,45.0,0,0
2020-09-12 14:00,23.0,151.0,1.0,0.0,24.0,91.0,,26.0,48.0,0,0
2020-09-12 15:00,24.0,162.0,1.0,0.0,25.0,89.0,,26.0,48.0,0,0
2020-09-12 16:00,24.0,144.0,1.0,0.0,25.0,88.0,,26.0,47.0,0,0
2020-09-12 17:00,23.0,51.0,0.0,0.0,24.0,92.0,,26.0,49.0,0,0
2020-09-12 18:00,22.0,10.0,0.0,0.0,23.0,97.0,,26.0,45.0,0,0
2020-09-12 19:00,22.0,2.0,0.0,0.0,22.0,95.0,,25.0,49.0,0,0
2020-09-12 20:00,21.0,2.0,0.0,0.0,21.0,94.0,,25.0,49.0,0,0
2020-09-12 21:00,20.0,2.0,0.0,3000.0,21.0,97.0,,25.0,50.0,0,0
2020-09-12 22:00,20.0,2.0,1.0,0.0,20.0,97.0,,24.0,45.0,0,0
2020-09-12 23:00,19.0,2.0,0.0,0.0,20.0,98.0,,24.0,47.0,0,0
2020-09-13 0:00,19.0,2.0,0.0,0.0,19.0,97.0,,23.0,48.0,0,0
2020-09-13 1:00,19.0,2.0,1.0,0.0,19.0,98.0,,23.0,45.0,0,0
2020-09-13 2:00,19.0,2.0,,0.0,19.0,98.0,,22.0,44.0,0,0
2020-09-13 3:00,19.0,2.0,1.0,1000.0,19.0,98.0,,22.0,48.0,0,0
2020-09-13 4:00,19.0,2.0,0.0,10000.0,19.0,98.0,,22.0,45.0,0,0
2020-09-13 5:00,18.0,2.0,0.0,2667.0,19.0,97.0,,22.0,45.0,0,0
2020-09-13 6:00,18.0,4.0,0.0,3833.0,19.0,98.0,,21.0,46.0,0,0
2020-09-13 7:00,18.0,14.0,,8833.0,19.0,98.0,,21.0,45.0,0,0
2020-09-13 8:00,18.0,46.0,0.0,0.0,20.0,97.0,,21.0,44.0,0,0
2020-09-13 9:00,19.0,124.0,0.0,0.0,21.0,93.0,,21.0,49.0,0,0
2020-09-13 10:00,19.0,103.0,,6167.0,21.0,94.0,,22.0,47.0,0,0
2020-09-13 11:00,19.0,141.0,,7500.0,21.0,94.0,,22.0,47.0,0,0
2020-09-13 12:00,20.0,310.0,0.0,0.0,24.0,89.0,,23.0,47.0,0,0
2020-09-13 13:00,22.0,507.0,0.0,0.0,27.0,85.0,,24.0,44.0,0,0
2020-09-13 14:00,24.0,638.0,1.0,0.0,31.0,80.0,,26.0,45.0,0,0
2020-09-13 15:00,24.0,340.0,1.0,0.0,29.0,83.0,,28.0,45.0,0,0
2020-09-13 16:00,24.0,186.0,1.0,0.0,27.0,87.0,,29.0,42.0,0,0
2020-09-13 17:00,23.0,83.0,,0.0,25.0,91.0,,29.0,43.0,0,0
2020-09-13 18:00,21.0,14.0,0.0,0.0,22.0,95.0,,28.0,41.0,0,0
2020-09-13 19:00,21.0,2.0,1.0,0.0,21.0,97.0,,27.0,41.0,0,0
2020-09-13 20:00,20.0,2.0,1.0,8167.0,21.0,97.0,,26.0,45.0,0,0
2020-09-13 21:00,20.0,2.0,1.0,0.0,21.0,97.0,,26.0,45.0,0,0
2020-09-13 22:00,20.0,2.0,0.0,0.0,20.0,98.0,,25.0,46.0,0,0
2020-09-13 23:00,19.0,2.0,0.0,0.0,19.0,98.0,,24.0,47.0,0,0
2020-09-14 0:00,19.0,2.0,0.0,0.0,19.0,98.0,,24.0,44.0,0,0
2020-09-14 1:00,18.0,2.0,0.0,0.0,18.0,98.0,,23.0,44.0,0,0
2020-09-14 2:00,18.0,2.0,1.0,0.0,18.0,99.0,,23.0,42.0,0,0
2020-09-14 3:00,17.0,2.0,1.0,0.0,18.0,99.0,,22.0,44.0,0,0
2020-09-14 4:00,17.0,2.0,1.0,0.0,18.0,98.0,,22.0,43.0,0,0
2020-09-14 5:00,17.0,2.0,1.0,0.0,18.0,98.0,,21.0,42.0,0,0
2020-09-14 6:00,17.0,13.0,1.0,0.0,18.0,98.0,,21.0,45.0,0,0
2020-09-14 7:00,18.0,98.0,1.0,0.0,19.0,96.0,,21.0,43.0,0,0
2020-09-14 8:00,20.0,243.0,0.0,0.0,22.0,90.0,,22.0,47.0,0,0
2020-09-14 9:00,22.0,362.0,0.0,0.0,23.0,87.0,,23.0,52.0,0,0
2020-09-14 10:00,24.0,677.0,0.0,0.0,28.0,77.0,,25.0,50.0,0,0
2020-09-14 11:00,26.0,788.0,0.0,0.0,28.0,79.0,,27.0,47.0,0,0
2020-09-14 12:00,27.0,588.0,1.0,0.0,27.0,82.0,,28.0,47.0,0,0
2020-09-14 13:00,25.0,242.0,1.0,0.0,25.0,87.0,,28.0,46.0,0,0
2020-09-14 14:00,27.0,621.0,1.0,0.0,27.0,82.0,,27.0,47.0,0,0
2020-09-14 15:00,25.0,298.0,1.0,0.0,26.0,84.0,,27.0,48.0,0,0
2020-09-14 16:00,25.0,349.0,1.0,0.0,27.0,82.0,,27.0,45.0,0,0
2020-09-14 17:00,24.0,133.0,1.0,0.0,25.0,87.0,,28.0,43.0,0,0
2020-09-14 18:00,22.0,12.0,0.0,0.0,21.0,94.0,,28.0,45.0,0,0
2020-09-14 19:00,21.0,1.0,1.0,0.0,20.0,95.0,,27.0,49.0,0,0
2020-09-14 20:00,21.0,1.0,1.0,0.0,20.0,94.0,,26.0,48.0,0,0
2020-09-14 21:00,20.0,1.0,1.0,0.0,20.0,95.0,,25.0,48.0,0,0
2020-09-14 22:00,19.0,2.0,0.0,0.0,19.0,97.0,,24.0,52.0,0,0
2020-09-14 23:00,18.0,2.0,0.0,0.0,19.0,97.0,,24.0,44.0,0,0
2020-09-15 0:00,18.0,2.0,0.0,0.0,18.0,98.0,,23.0,45.0,0,0
2020-09-15 1:00,18.0,2.0,1.0,0.0,18.0,97.0,,23.0,45.0,0,0
2020-09-15 2:00,17.0,2.0,1.0,0.0,18.0,97.0,,22.0,44.0,0,0
2020-09-15 3:00,17.0,1.0,1.0,0.0,17.0,97.0,,22.0,44.0,0,0
2020-09-15 4:00,17.0,2.0,1.0,0.0,17.0,97.0,,21.0,43.0,0,0
2020-09-15 5:00,16.0,2.0,1.0,0.0,17.0,98.0,,21.0,41.0,0,0
2020-09-15 6:00,16.0,18.0,1.0,0.0,16.0,98.0,,20.0,42.0,0,0
2020-09-15 7:00,18.0,146.0,0.0,0.0,18.0,93.0,,20.0,45.0,0,0
2020-09-15 8:00,21.0,369.0,,0.0,22.0,83.0,,21.0,44.0,0,0
2020-09-15 9:00,23.0,545.0,,0.0,26.0,78.0,,24.0,51.0,0,0
2020-09-15 10:00,25.0,654.0,0.0,0.0,27.0,79.0,,26.0,49.0,0,0
2020-09-15 11:00,27.0,731.0,1.0,0.0,27.0,83.0,,27.0,47.0,0,0
2020-09-15 12:00,28.0,673.0,1.0,0.0,28.0,83.0,,27.0,49.0,0,0
2020-09-15 13:00,28.0,660.0,1.0,0.0,29.0,81.0,,27.0,44.0,0,0
2020-09-15 14:00,28.0,463.0,1.0,0.0,28.0,82.0,,27.0,52.0,0,0
2020-09-15 15:00,27.0,149.0,1.0,2000.0,27.0,85.0,,27.0,48.0,0,0
2020-09-15 16:00,26.0,116.0,,4500.0,26.0,90.0,,27.0,42.0,0,0
2020-09-15 17:00,24.0,12.0,1.0,0.0,24.0,92.0,,27.0,47.0,0,0
2020-09-15 18:00,23.0,2.0,0.0,0.0,23.0,94.0,,27.0,44.0,0,0
