조사일,주차,초장,엽장,엽폭,엽병장,엽수,관부직경,화방 꽃수(소화수),착과수,최종화방차수
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-01-28,21주차,32.0,7.0,6.0,21.0,9.0,20.0,1.0,2.0,2.0
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-04,,32.0,7.0,6.0,17.0,9.0,21.0,2.0,2.0,
2021-02-10,22주차,33.0,7.0,6.0,14.0,8.0,22.0,,3.0,
